亚,亜
查,査
砂,砂
诈,詐
锁,鎖
座,座
债,債
催,催
再,再
最,最
妻,妻
宰,宰
彩,彩
才,才
采,採
栽,栽
岁,歳
济,済
灾,災
碎,砕
祭,祭
斋,斎
细,細
菜,菜
裁,裁
载,載
际,際
剂,剤
在,在
材,材
罪,罪
财,財
坂,坂
笑,咲
崎,崎
作,作
削,削
榨,搾
昨,昨
策,策
索,索
错,錯
册,冊
刷,刷
察,察
撮,撮
擦,擦
札,札
杀,殺
杂,雑
皿,皿
三,三
伞,傘
参,参
山,山
惨,惨
散,散
栈,桟
产,産
算,算
蚕,蚕
赞,賛
酸,酸
暂,暫
残,残
仕,仕
伺,伺
使,使
刺,刺
司,司
史,史
嗣,嗣
四,四
士,士
始,始
姊,姉
姿,姿
子,子
市,市
师,師
志,志
思,思
指,指
支,支
施,施
旨,旨
枝,枝
止,止
死,死
氏,氏
祉,祉
私,私
糸,糸
纸,紙
紫,紫
肢,肢
脂,脂
至,至
视,視
词,詞
诗,詩
试,試
誌,誌
谘,諮
资,資
赐,賜
雌,雌
饲,飼
齿,歯
事,事
似,似
侍,侍
儿,児
字,字
寺,寺
慈,慈
持,持
时,時
次,次
滋,滋
治,治
玺,璽
磁,磁
示,示
耳,耳
自,自
辞,辞
式,式
识,識
轴,軸
七,七
执,執
失,失
室,室
湿,湿
漆,漆
疾,疾
质,質
实,実
芝,芝
舍,舎
写,写
射,射
舍,舎
赦,赦
斜,斜
煮,煮
社,社
者,者
谢,謝
车,車
遮,遮
蛇,蛇
邪,邪
借,借
勺,勺
尺,尺
爵,爵
酌,酌
释,釈
若,若
寂,寂
弱,弱
主,主
取,取
守,守
手,手
朱,朱
殊,殊
狩,狩
珠,珠
种,種
趣,趣
酒,酒
首,首
儒,儒
受,受
寿,寿
授,授
树,樹
需,需
囚,囚
收,収
周,周
宗,宗
就,就
州,州
修,修
愁,愁
拾,拾
秀,秀
秋,秋
终,終
习,習
臭,臭
舟,舟
众,衆
袭,襲
週,週
酬,酬
集,集
丑,醜
住,住
充,充
十,十
从,従
柔,柔
汁,汁
涩,渋
兽,獣
纵,縦
重,重
铳,銃
叔,叔
宿,宿
淑,淑
祝,祝
缩,縮
肃,粛
塾,塾
熟,熟
出,出
术,術
述,述
俊,俊
春,春
瞬,瞬
准,准
循,循
旬,旬
殉,殉
準,準
润,潤
盾,盾
纯,純
巡,巡
遵,遵
顺,順
处,処
初,初
所,所
暑,暑
庶,庶
绪,緒
署,署
书,書
诸,諸
助,助
叙,叙
女,女
序,序
徐,徐
除,除
伤,傷
偿,償
胜,勝
匠,匠
升,升
召,召
商,商
唱,唱
奖,奨
宵,宵
将,将
少,少
小,小
尚,尚
床,床
彰,彰
承,承
抄,抄
招,招
掌,掌
昇,昇
昭,昭
晶,晶
松,松
沼,沼
消,消
涉,渉
烧,焼
焦,焦
照,照
症,症
省,省
硝,硝
礁,礁
祥,祥
称,称
章,章
笑,咲
妆,粧
绍,紹
肖,肖
衝,衝
讼,訟
证,証
诏,詔
详,詳
象,象
赏,賞
钟,鐘
障,障
上,上
丈,丈
乘,乗
冗,冗
剩,剰
城,城
场,場
壤,壌
娘,嬢
